class,sex,age,survived
3rd,male,NA,TRUE
3rd,female,NA,TRUE
3rd,male,9,TRUE
3rd,male,28,FALSE
3rd,male,42,FALSE
3rd,male,NA,FALSE
3rd,female,31,FALSE
3rd,male,28,FALSE
3rd,male,32,TRUE
3rd,male,20,FALSE
3rd,female,23,FALSE
3rd,female,20,FALSE
3rd,male,20,FALSE
3rd,male,16,FALSE
3rd,female,31,TRUE
3rd,female,NA,FALSE
3rd,male,2,FALSE
3rd,male,6,FALSE
3rd,female,3,FALSE
3rd,female,8,FALSE
3rd,female,29,FALSE
3rd,male,1,FALSE
3rd,male,7,FALSE
3rd,male,2,FALSE
3rd,male,16,FALSE
3rd,male,14,FALSE
3rd,female,41,FALSE
3rd,male,21,FALSE
3rd,male,19,FALSE
3rd,male,NA,FALSE
3rd,male,32,FALSE
3rd,male,0.75,FALSE
3rd,female,3,FALSE
3rd,female,26,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,21,FALSE
3rd,male,25,FALSE
3rd,male,22,FALSE
3rd,male,25,TRUE
3rd,male,NA,TRUE
3rd,female,NA,TRUE
3rd,female,NA,TRUE
3rd,female,NA,FALSE
3rd,male,24,FALSE
3rd,female,28,FALSE
3rd,male,19,FALSE
3rd,male,NA,FALSE
3rd,male,25,FALSE
3rd,female,18,FALSE
3rd,male,32,TRUE
3rd,male,NA,FALSE
3rd,male,17,FALSE
3rd,male,24,FALSE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,38,FALSE
3rd,male,21,FALSE
3rd,male,10,FALSE
3rd,male,4,FALSE
3rd,male,7,FALSE
3rd,male,2,FALSE
3rd,male,8,FALSE
3rd,female,39,FALSE
3rd,female,22,FALSE
3rd,male,35,FALSE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,50,FALSE
3rd,female,47,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,2,FALSE
3rd,male,18,FALSE
3rd,female,41,FALSE
3rd,female,NA,TRUE
3rd,male,50,FALSE
3rd,male,16,FALSE
3rd,male,NA,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,25,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,38.5,FALSE
3rd,male,NA,FALSE
3rd,male,14.5,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,female,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,FALSE
3rd,male,24,FALSE
3rd,female,21,TRUE
3rd,male,39,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,1,TRUE
3rd,female,24,TRUE
3rd,female,4,TRUE
3rd,male,25,TRUE
3rd,male,20,FALSE
3rd,male,24.5,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,29,TRUE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,22,FALSE
3rd,male,NA,FALSE
3rd,male,40,FALSE
3rd,male,21,FALSE
3rd,female,18,TRUE
3rd,male,4,FALSE
3rd,male,10,FALSE
3rd,female,9,FALSE
3rd,female,2,FALSE
3rd,male,40,FALSE
3rd,female,45,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,19,FALSE
3rd,male,30,FALSE
3rd,male,NA,FALSE
3rd,male,32,FALSE
3rd,male,NA,FALSE
3rd,male,33,FALSE
3rd,female,23,TRUE
3rd,male,21,FALSE
3rd,male,60.5,FALSE
3rd,male,19,FALSE
3rd,female,22,FALSE
3rd,male,31,TRUE
3rd,male,27,FALSE
3rd,female,2,FALSE
3rd,female,29,FALSE
3rd,male,16,TRUE
3rd,male,44,TRUE
3rd,male,25,FALSE
3rd,male,74,FALSE
3rd,male,14,TRUE
3rd,male,24,FALSE
3rd,male,25,TRUE
3rd,male,34,FALSE
3rd,male,0.416700006,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,16,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,NA,TRUE
3rd,male,32,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,30.5,FALSE
3rd,male,44,FALSE
3rd,male,NA,FALSE
3rd,male,25,TRUE
3rd,male,NA,FALSE
3rd,male,7,TRUE
3rd,female,9,TRUE
3rd,female,29,TRUE
3rd,male,36,FALSE
3rd,female,18,TRUE
3rd,female,63,TRUE
3rd,male,NA,FALSE
3rd,male,11.5,FALSE
3rd,male,40.5,FALSE
3rd,female,10,FALSE
3rd,male,36,FALSE
3rd,female,30,FALSE
3rd,male,NA,FALSE
3rd,male,33,FALSE
3rd,male,28,FALSE
3rd,male,28,FALSE
3rd,male,47,FALSE
3rd,female,18,FALSE
3rd,male,31,FALSE
3rd,male,16,FALSE
3rd,female,31,FALSE
3rd,male,22,TRUE
3rd,male,20,FALSE
3rd,female,14,FALSE
3rd,male,22,FALSE
3rd,male,22,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,32.5,FALSE
3rd,female,38,TRUE
3rd,male,51,FALSE
3rd,male,18,FALSE
3rd,male,21,FALSE
3rd,female,47,TRUE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,male,28.5,FALSE
3rd,male,21,FALSE
3rd,male,27,FALSE
3rd,male,NA,FALSE
3rd,male,36,FALSE
3rd,male,27,FALSE
3rd,female,15,TRUE
3rd,male,45.5,FALSE
3rd,male,NA,FALSE
3rd,male,NA,FALSE
3rd,female,14.5,FALSE
3rd,female,NA,FALSE
3rd,male,26.5,FALSE
3rd,male,27,FALSE
3rd,male,29,FALSE
